pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,18,Grogu,Charming Companion,Rare,Leader,Cunning/Heroism,Normal,18,0,0,high,bordered leader frame confirms Normal variant; identity via subtitle; #18
1,2,20,"Nevarro City, Restored",,Common,Base,Vigilance,Normal,20,0,0,high,20/264 read
1,3,238,Attendant Navigator,,Common,Unit,Villainy,Normal,238,0,0,high,238/264 read
1,4,86,Durasteel Plating,,Common,Upgrade,Vigilance,Normal,86,0,0,high,86/264 read
1,5,175,Wookiee Chieftain,,Common,Unit,Aggression,Normal,175,0,0,high,"175/264 read, corrected from initial misread 195"
1,6,242,Death Trooper Squad,,Common,Unit,Villainy,Normal,242,0,0,high,242/264 read
1,7,337,Palace Chef Droid,,Common,Unit,Vigilance,Hyperspace,73,0,1,high,"bare 337 read, HS common slot"
1,8,251,Zealous Soldier,,Common,Unit,Heroism,Normal,251,0,0,high,251/264 read
1,9,129,Defenders of the Forest,,Common,Unit,Command,Normal,129,0,0,high,129/264 read
1,10,205,Inspiring Veteran,,Common,Unit,Cunning/Heroism,Normal,205,0,0,high,205/264 read
1,11,107,Clan Wren Loyalist,,Common,Unit,Command/Heroism,Normal,107,0,0,high,107/264 read
1,12,595,Captain Pellaeon,Plotting from the Shadows,Uncommon,Unit,Command/Villainy,Hyperspace Foil,93,1,1,high,"bare 595 read foil slot, corrected from initial misread 606"
1,13,146,Justifier,Relentless,Uncommon,Unit,Aggression/Villainy,Normal,146,0,0,high,146/264 read
1,14,223,Halo,Not According to Plan,Uncommon,Unit,Cunning,Normal,223,0,0,high,223/264 read
1,15,411,The Cyborg Mech,Mysterious Threat,Uncommon,Unit,Aggression/Villainy,Hyperspace,147,0,1,high,"bare 411 read, HS uncommon upgrade slot"
1,16,135,The Darksaber,Icon of Leadership,Legendary,Upgrade,Command,Normal,135,0,0,high,"135/264 read, corrected from initial misread 138"
2,1,9,Ahsoka Tano,Trust in the Force,Common,Leader,Command/Heroism,Normal,9,0,0,high,9/264 read
2,2,289,Emperor's Observatory,,Common,Base,Cunning,Hyperspace,25,0,1,high,"bare 289 read, base card unexpectedly Hyperspace variant"
2,3,51,Reinforcing Light Cruiser,,Common,Unit,Vigilance/Villainy,Normal,51,0,0,high,51/264 read
2,4,166,Ewok Warrior,,Common,Unit,Aggression,Normal,166,0,0,high,166/264 read
2,5,92,Foundling Rescue,,Common,Event,Vigilance,Normal,92,0,0,high,92/264 read
2,6,181,Mark My Words,,Common,Upgrade,Aggression,Normal,181,0,0,high,181/264 read
2,7,501,Mouse Droid,,Common,Unit,Villainy,Hyperspace,237,0,1,high,"bare 501 read, HS common slot"
2,8,256,Rebel Infiltrators,,Common,Unit,Heroism,Normal,256,0,0,high,bordered frame confirms Normal; identity=Rebel Infiltrators=256; #256
2,9,193,Emperor's Champion,,Common,Unit,Cunning/Villainy,Normal,193,0,0,high,193/264 read
