pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,6,Sabine Wren,Bargaining on Belief,Common,Leader,Vigilance/Heroism,Normal,6,no,n/a,high,leader variant unverifiable at this res
1,2,24,Dragonsnake Bog,,Common,Base,Aggression,Normal,24,no,n/a,high,base variant unverifiable at this res
1,3,61,Strike Team Vanguard,,Common,Unit,Vigilance/Heroism,Normal,61,possible glare/foil sheen seen but treated as normal per pos rule,no,high,art area appeared blank/overexposed in photo
1,4,176,Imposing Scout Walker,,Common,Unit,Aggression,Normal,176,no,no,high,
1,5,91,Buy Time,,Common,Event,Vigilance,Normal,91,no,no,high,
1,6,239,Imperial Loyalist,,Common,Unit,Villainy,Normal,239,no,no,high,
1,7,477,Womp Rat,,Common,Unit,Cunning,Hyperspace,213,no,not clearly borderless at this res,high,pos7 forced-Hyperspace per invariant rule
1,8,264,A New Order,,Common,Event,,Normal,264,no,no,high,
1,9,138,Turning the Tide,,Common,Event,Command,Normal,138,no,no,high,
1,10,233,Keep Them Talking,,Common,Event,Cunning,Normal,233,no,no,high,
1,11,136,Display of Strength,,Common,Event,Command,Normal,136,no,no,high,
1,12,591,Perseverance,,Common,Event,Vigilance,Hyperspace Foil,89,not clearly foil at this res,n/a,high,pos12 forced HS-Foil per invariant rule
1,13,223,Halo,Not According to Plan,Uncommon,Unit,Cunning,Normal,223,no,no,high,
1,14,46,Scion Shuttle,At Morgan's Bidding,Uncommon,Unit,Vigilance/Villainy,Normal,46,no,no,high,
1,15,208,Sabine Wren,I Learned the Hard Way,Uncommon,Unit,Cunning/Heroism,Normal,208,no,no,high,"UC3 slot, no visible prestige/upgrade treatment"
1,16,123,Lang,Arrogant Mercenary,Rare,Unit,Command,Normal,123,no,n/a,high,
2,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Cunning/Heroism,Normal,17,no,n/a,high,leader variant unverifiable at this res
2,2,19,Fortress of the Great Mothers,,Common,Base,Vigilance,Normal,19,no,n/a,high,base variant unverifiable at this res
2,3,184,Follow Me,,Common,Event,Aggression,Normal,184,no,no,high,
2,4,76,Remnant Official,,Common,Unit,Vigilance,Normal,76,no,no,high,
2,5,185,Intimidation,,Common,Event,Aggression,Normal,185,no,no,high,
2,6,75,Pit Droid Team,,Common,Unit,Vigilance,Normal,75,no,no,high,
2,7,398,Warrior's Legacy,,Common,Upgrade,Command,Hyperspace,134,no,not clearly borderless at this res,high,pos7 forced-Hyperspace per invariant rule
2,8,215,Flanking TIE Interceptor,,Common,Unit,Cunning,Normal,215,no,no,high,
2,9,258,Grassroots Resistance,,Common,Event,Heroism,Normal,258,no,no,high,
2,10,122,Consortium StarViper,,Common,Unit,Command,Normal,122,no,no,high,
2,11,221,Helix Starfighter,,Common,Unit,Cunning,Normal,221,no,no,high,
2,12,683,Mark My Words,,Common,Upgrade,Aggression,Hyperspace Foil,181,not clearly foil at this res,n/a,high,pos12 forced HS-Foil per invariant rule
2,13,113,Mandalorian Flagship,Captured from the Empire,Uncommon,Unit,Command/Heroism,Normal,113,no,no,high,
2,14,162,Rash Action,,Uncommon,Event,Aggression/Heroism,Normal,162,no,no,high,
2,15,459,Helgait,Dooku Was a Visionary,Rare,Unit,Cunning/Villainy,Hyperspace,195,no,art appears grayscale/prestige-like sketch treatment,high,"UC3 upgrade slot: card is Rare not Uncommon, used Hyperspace printing per rule"
2,16,40,Poe Dameron,I'll Come Back For You,Rare,Unit,Aggression/Cunning/Heroism,Normal,40,no,n/a,high,
3,1,18,Grogu,Charming Companion,Rare,Leader,Cunning/Heroism,Normal,18,no,n/a,high,leader variant unverifiable at this res
3,2,26,Freetown,,Common,Base,Cunning,Normal,26,no,n/a,high,base variant unverifiable at this res
3,3,170,Desert Sharpshooter,,Common,Unit,Aggression,Normal,170,no,no,high,
3,4,238,Attendant Navigator,,Common,Unit,Villainy,Normal,238,no,no,high,
3,5,86,Durasteel Plating,,Common,Upgrade,Vigilance,Normal,86,no,no,high,
3,6,250,Imperial Defector,,Common,Unit,Heroism,Normal,250,no,no,high,
3,7,491,Heightened Awareness,,Common,Upgrade,Cunning,Hyperspace,227,no,not clearly borderless at this res,high,pos7 forced-Hyperspace per invariant rule
3,8,134,Warrior's Legacy,,Common,Upgrade,Command,Normal,134,no,no,high,
3,9,249,Covert Veteran,,Common,Unit,Heroism,Normal,249,no,no,high,
3,10,222,Unsanctioned Patrol,,Common,Unit,Cunning,Normal,222,no,no,high,
3,11,121,Blurrg,,Common,Unit,Command,Normal,121,no,no,high,
3,12,618,Ant Droid,,Common,Unit,Command,Hyperspace Foil,116,not clearly foil at this res,n/a,high,pos12 forced HS-Foil per invariant rule
3,13,74,Mos Eisley Modifier,,Uncommon,Unit,Vigilance,Normal,74,no,no,high,
3,14,139,Hold Them Off,,Uncommon,Event,Command,Normal,139,no,no,high,
3,15,236,Far Far Away,,Uncommon,Event,Cunning,Normal,236,no,no,high,
3,16,43,Corona Four,Justice for Alderaan,Rare,Unit,Cunning/Vigilance/Heroism,Normal,43,no,n/a,high,
4,1,9,Ahsoka Tano,Trust in the Force,Common,Leader,Command/Heroism,Normal,9,no,n/a,high,leader variant unverifiable at this res
4,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,no,n/a,high,base variant unverifiable at this res
4,3,175,Wookiee Chieftain,,Common,Unit,Aggression,Normal,175,no,no,high,
4,4,242,Death Trooper Squad,,Common,Unit,Villainy,Normal,242,no,no,high,
4,5,51,Reinforcing Light Cruiser,,Common,Unit,Vigilance/Villainy,Normal,51,no,no,high,
4,6,166,Ewok Warrior,,Common,Unit,Aggression,Normal,166,no,no,high,
