pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,18,Grogu,Charming Companion,Rare,Leader,Cunning/Heroism,Normal,18,0,0,high,"18/264 read (partial digits), gold border confirms Normal, landscape leader card"
1,2,20,"Nevarro City, Restored",,Common,Base,Vigilance,Normal,20,0,0,high,"20/264 read clearly, landscape base card"
1,3,240,Mandalorian Super Commandos,,Common,Unit,Villainy,Normal,240,0,0,high,240/264 read
1,4,57,Lothal E-Wing,,Common,Unit,Vigilance/Heroism,Normal,57,0,0,high,57/264 read
1,5,154,Honorable Nite Owl,,Common,Unit,Aggression/Heroism,Normal,154,0,0,high,154/264 read
1,6,82,Trexler Armored Marauder,,Common,Unit,Vigilance,Normal,82,0,0,high,82/264 read
1,7,501,Mouse Droid,,Common,Unit,Villainy,Hyperspace,237,0,1,high,"501 read bare no slash, borderless art bleed, the pack's one Hyperspace common"
1,8,120,Warrior of Clan Kryze,,Common,Unit,Command,Normal,120,0,0,high,120/264 read
1,9,252,N5 Sentry Droid,,Common,Unit,Heroism,Normal,252,0,0,high,252/264 read
1,10,190,Peridea Bandit,,Common,Unit,Cunning/Villainy,Normal,190,0,0,high,190/264 read
1,11,106,Pathfinder Sergeant,,Common,Unit,Command/Heroism,Normal,106,0,0,high,106/264 read
1,12,570,Domesticated Loth-Cat,,Uncommon,Unit,Vigilance,Hyperspace Foil,68,1,1,high,"570 read bare no slash, foil slot pos12, borderless"
1,13,187,Reckoning,,Uncommon,Event,Aggression,Normal,187,0,0,high,187/264 read
1,14,68,Domesticated Loth-Cat,,Uncommon,Unit,Vigilance,Normal,68,0,0,high,"68/264 read, second copy of Loth-Cat in pack (regular, not the foil pos12 copy)"
1,15,363,Gozanti Assault Carrier,,Uncommon,Unit,Command/Villainy,Hyperspace,99,0,1,high,"363 read bare no slash, UC3 slot upgraded to Hyperspace, borderless"
1,16,135,The Darksaber,Icon of Leadership,Legendary,Upgrade,Command,Normal,135,0,0,high,135/264 read
2,1,278,The Mandalorian,We Can't Keep Running,Rare,Leader,Aggression/Heroism,Hyperspace,14,0,1,high,"278 read bare (no slash), landscape leader card, matches Hyperspace ref exactly"
2,2,23,Ancient Henge,,Common,Base,Aggression,Normal,23,0,0,high,"23/264 read, landscape base card"
2,3,157,Danger Squadron Wingmen,,Common,Unit,Aggression/Heroism,Normal,157,0,0,high,157/264 read
2,4,259,LEP Ratcatcher,,Common,Unit,,Normal,259,0,0,high,259/264 read
2,5,61,Strike Team Vanguard,,Common,Unit,Vigilance/Heroism,Normal,61,0,0,high,61/264 read
2,6,176,Imposing Scout Walker,,Common,Unit,Aggression,Normal,176,0,0,high,176/264 read
2,7,428,Alamite Hunter,,Common,Unit,Aggression,Hyperspace,164,0,1,high,"428 read bare, borderless, the pack's one Hyperspace common"
2,8,96,Forest Patroller,,Common,Unit,Command/Villainy,Normal,96,0,0,medium,"corner number blurred/illegible (fragment looked like 3x0 but no such variant exists for this card); inferred 96/264 Normal from visible green aspect border frame, name/art match, and pack sanity (HS common slot already used by Alamite Hunter)"
2,9,232,Full of Surprises,,Common,Event,Cunning,Normal,232,0,0,high,232/264 read
2,10,250,Imperial Defector,,Common,Unit,Heroism,Normal,250,0,0,high,250/264 read
2,11,131,Dinosaur Turtle,,Common,Unit,Command,Normal,131,0,0,high,131/264 read
2,12,582,Covert Believers,,Common,Unit,Vigilance,Hyperspace Foil,80,1,1,high,"582 read bare, foil slot pos12"
2,13,210,DDC Defender,,Uncommon,Upgrade,Cunning/Heroism,Normal,210,0,0,high,210/264 read
2,14,125,Stolen Eta Shuttle,,Uncommon,Unit,Command,Normal,125,0,0,high,125/264 read
2,15,194,Snub Fighter Squadron,,Uncommon,Unit,Cunning/Villainy,Normal,194,0,0,high,"194/264 read, UC3 slot not upgraded"
2,16,79,Koska Reeves,Warrior of Mandalore,Rare,Unit,Vigilance,Normal,79,0,0,high,79/264 read
3,1,9,Ahsoka Tano,Trust in the Force,Common,Leader,Command/Heroism,Normal,9,0,0,high,"9/264 read (partial ""9/2"" + full ""9/264"" confirmed in secondary crop), landscape leader card"
3,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,0,0,high,"21/264 read (partial digits, corroborated by reference), landscape base card"
3,3,91,Buy Time,,Common,Event,Vigilance,Normal,91,0,0,high,91/264 read
3,4,239,Imperial Loyalist,,Common,Unit,Villainy,Normal,239,0,0,high,239/264 read
3,5,184,Follow Me,,Common,Event,Aggression,Normal,184,0,0,high,184/264 read
3,6,76,Remnant Official,,Common,Unit,Vigilance,Normal,76,0,0,high,76/264 read
3,7,496,Full of Surprises,,Common,Event,Cunning,Hyperspace,232,0,1,high,"496 read bare (no slash) after zoom, borderless, pack's one Hyperspace common"
3,8,214,Amnesty Officer,,Common,Unit,Cunning,Normal,214,0,0,high,214/264 read
3,9,98,AT-ST Raider,,Common,Unit,Command/Villainy,Normal,98,0,0,high,98/264 read
3,10,233,Keep Them Talking,,Common,Event,Cunning,Normal,233,0,0,high,233/264 read
3,11,121,Blurrg,,Common,Unit,Command,Normal,121,0,0,high,121/264 read
3,12,598,Forest Patroller,,Common,Unit,Command/Villainy,Hyperspace Foil,96,1,1,high,"598 read bare, foil slot pos12"
3,13,160,Kachirho Militia,,Uncommon,Unit,Aggression/Heroism,Normal,160,0,0,high,160/264 read
3,14,64,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Vigilance/Heroism,Normal,64,0,0,high,64/264 read
3,15,93,Captain Pellaeon,Plotting from the Shadows,Uncommon,Unit,Command/Villainy,Normal,93,0,0,high,93/264 read
3,16,200,Rehabilitation,,Rare,Event,Cunning/Villainy,Normal,200,0,0,high,200/264 read
4,1,11,Cad Bane,Still Faster than You,Common,Leader,Aggression/Villainy,Normal,11,0,0,high,11/264 read
4,2,22,Kryze Castle,,Common,Base,Command,Normal,22,0,0,high,22/264 read
4,3,185,Intimidation,,Common,Event,Aggression,Normal,185,0,0,high,185/264 read
4,4,75,Pit Droid Team,,Common,Unit,Vigilance,Normal,75,0,0,high,75/264 read
4,5,170,Desert Sharpshooter,,Common,Unit,Aggression,Normal,170,0,0,high,170/264 read
4,6,238,Attendant Navigator,,Common,Unit,Villainy,Normal,238,0,0,high,238/264 read
4,7,386,Consortium StarViper,,Common,Unit,Command,Hyperspace,122,0,1,high,"386 bare number read, no /264"
4,8,254,Gallofree Transport,,Common,Unit,Heroism,Normal,254,0,0,high,254/264 read
4,9,221,Helix Starfighter,,Common,Unit,Cunning,Normal,221,0,0,high,221/264 read
4,10,117,Outland Protector,,Common,Unit,Command,Normal,117,0,0,high,117/264 read
4,11,213,Womp Rat,,Common,Unit,Cunning,Normal,213,0,0,high,213/264 read
4,12,761,LEP Ratcatcher,,Common,Unit,,Hyperspace Foil,259,1,1,high,"761 bare number read, no /264, foil sheen visible"
4,13,41,Outcast,Mercenary Starship,Uncommon,Unit,Aggression/Cunning,Normal,41,0,0,high,41/264 read
4,14,56,Huyang,Your Aptitude Falls Short,Uncommon,Unit,Vigilance/Heroism,Normal,56,0,0,high,56/264 read
4,15,241,Marrok's Fiend Fighter,Formidable Pursuer,Uncommon,Unit,Villainy,Normal,241,0,0,high,241/264 read
