pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
1,1,275,Cad Bane,Still Faster than You,Common,Leader,Hyperspace,leader,true,high,
1,2,448,Follow Me,,Common,Event,Hyperspace,hs,true,high,
1,3,479,Flanking TIE Interceptor,,Common,Unit,Hyperspace,hs,true,high,
1,4,518,Gallofree Transport,,Common,Unit,Hyperspace,hs,true,high,
1,5,342,B-Wing Rearguard,,Common,Unit,Hyperspace,hs,true,high,
1,6,359,Remnant Interceptor,,Common,Unit,Hyperspace,hs,true,high,
1,7,373,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Hyperspace,hs,true,high,
1,8,507,Darth Vader,Meet Your Destiny,Special,Unit,Hyperspace,hs,true,high,
1,9,368,Dathomiri Magicks,,Rare,Event,Hyperspace,hs,true,high,
1,10,825,Blade Three,Bane of the Devastator,Uncommon,Unit,Standard Prestige,prestige,true,high,
1,11,592,Reforge,,Rare,Event,Hyperspace Foil,hsf,true,high,
1,12,700,Nowhere to Hide,,Uncommon,Upgrade,Hyperspace Foil,hsf,true,high,
1,13,754,N5 Sentry Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
1,14,723,Helix Starfighter,,Common,Unit,Hyperspace Foil,hsf,true,high,
1,15,654,Inspired Recruit,,Common,Unit,Hyperspace Foil,hsf,true,high,
1,16,560,Duchess's Protector,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,1,273,Ahsoka Tano,Trust in the Force,Common,Leader,Hyperspace,leader,true,high,
2,2,315,Reinforcing Light Cruiser,,Common,Unit,Hyperspace,hs,true,high,
2,3,486,Unsanctioned Patrol,,Common,Unit,Hyperspace,hs,true,high,
2,4,528,A New Order,,Common,Event,Hyperspace,hs,true,high,
2,5,393,Defenders of the Forest,,Common,Unit,Hyperspace,hs,true,high,
2,6,340,Remnant Official,,Common,Unit,Hyperspace,hs,true,high,
2,7,462,Nowhere to Hide,,Uncommon,Upgrade,Hyperspace,hs,true,high,
2,8,423,Alphabet Squadron U-Wing,Quiet Devotion,Uncommon,Unit,Hyperspace,hs,true,high,
2,9,432,Migs Mayfeld,How About a Toast?,Rare,Unit,Hyperspace,hs,true,high,
2,10,799,Moff Gideon,Remnant Commander,Uncommon,Unit,Standard Prestige,prestige,true,high,
2,11,569,Get Lost,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
2,12,648,Justifier,Relentless,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
2,13,735,Keep Them Talking,,Common,Event,Hyperspace Foil,hsf,true,high,
2,14,647,Praetorian Elite,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,15,608,Pathfinder Sergeant,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,16,584,Trexler Armored Marauder,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,1,383,Greef Karga,Introductions are in Order,Uncommon,Unit,Hyperspace,leader,true,high,
3,2,428,Alamite Hunter,,Common,Unit,Hyperspace,hs,true,high,
3,3,360,Forest Patroller,,Common,Unit,Hyperspace,hs,true,high,
3,4,496,Full of Surprises,,Common,Event,Hyperspace,hs,true,high,
3,5,386,Consortium StarViper,,Common,Unit,Hyperspace,hs,true,high,
3,6,435,Pegasus Tri-Wing,,Common,Unit,Hyperspace,hs,true,high,
3,7,406,Mortar Trooper,,Uncommon,Unit,Hyperspace,hs,true,high,
3,8,293,Scorpenek Annihilator Droid,,Uncommon,Unit,Hyperspace,hs,true,high,
3,9,300,Rukh,From the Shadows,Rare,Unit,Hyperspace,hs,true,high,
3,10,844,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Foil Prestige,prestige,true,high,
3,11,698,Gorian Shard's Corsair,Pirate Warship,Legendary,Unit,Hyperspace Foil,hsf,true,high,
3,12,680,Knobby White Ice Spider,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
3,13,667,Clan Vizsla Soldier,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,14,628,Survivors' Langskib,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,15,589,Cybernetic Enhancements,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
3,16,748,Exploit Advantage,,Common,Event,Hyperspace Foil,hsf,true,high,
4,1,313,Shin Hati,Going Somewhere?,Uncommon,Unit,Hyperspace,leader,true,high,
4,2,312,Imperial Armored Commando,,Common,Unit,Hyperspace,hs,true,high,
4,3,395,Dinosaur Turtle,,Common,Unit,Hyperspace,hs,true,high,
4,4,454,Peridea Bandit,,Common,Unit,Hyperspace,hs,true,high,
4,5,337,Palace Chef Droid,,Common,Unit,Hyperspace,hs,true,high,
4,6,501,Mouse Droid,,Common,Unit,Hyperspace,hs,true,high,
4,7,357,Captain Pellaeon,Plotting from the Shadows,Uncommon,Unit,Hyperspace,hs,true,high,
