pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,10,Bo-Katan Kryze,Reclaiming Mandalore,Rare,Leader,Command/Heroism,Normal,10,no,no,high,printed number obscured by glare on foil-embossed leader border; identified via name+subtitle+rarity+aspect match and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]
1,2,19,Fortress of the Great Mothers,,Common,Base,Vigilance,Normal,19,no,no,high,printed number cut off at card edge/overlap; identified via unique name and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]
1,3,57,Lothal E-Wing,,Common,Unit,Vigilance/Heroism,Normal,57,no,no,high,
1,4,154,Honorable Nite Owl,,Common,Unit,Aggression/Heroism,Normal,154,no,no,high,
1,5,82,Trexler Armored Marauder,,Common,Unit,Vigilance,Normal,82,no,no,high,
1,6,157,Danger Squadron Wingmen,,Common,Unit,Aggression/Heroism,Normal,157,no,no,high,
1,7,503,Imperial Loyalist,,Common,Unit,Villainy,Hyperspace,239,yes,no,high,"bare number 503, HS common in expected pos3-11 slot"
1,8,232,Full of Surprises,,Common,Event,Cunning,Normal,232,no,no,high,
1,9,250,Imperial Defector,,Common,Unit,Heroism,Normal,250,no,no,high,
1,10,131,Dinosaur Turtle,,Common,Unit,Command,Normal,131,no,no,high,
1,11,214,Amnesty Officer,,Common,Unit,Cunning,Normal,214,no,no,high,
1,12,593,Buy Time,,Common,Event,Vigilance,Hyperspace Foil,91,yes,yes,high,"foil slot pos12, bare number 593 in 529-766 range"
1,13,139,Hold Them Off,,Uncommon,Event,Command,Normal,139,no,no,high,
1,14,146,Justifier,Relentless,Uncommon,Unit,Aggression/Villainy,Normal,146,no,no,high,appeared shiny in overview photo but confirmed Normal via printed number and bordered frame
1,15,426,Rash Action,,Uncommon,Event,Aggression/Heroism,Hyperspace,162,yes,no,high,bare number 426
1,16,36,Rukh,From the Shadows,Rare,Unit,Command/Cunning/Villainy,Normal,36,no,no,high,
2,1,4,Grand Admiral Thrawn,Victory is Mine,Rare,Leader,Vigilance/Villainy,Normal,4,no,no,high,printed number obscured by glare; identified via name+subtitle+rarity+aspect match and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]
2,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,no,no,high,printed number obscured by glare/angle; identified via unique name and bordered frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]
2,3,259,LEP Ratcatcher,,Common,Unit,,Normal,259,no,no,low,"card surface heavily overexposed/blown out in all photos (both quadrant crop and overview), printed number unreadable; classified Normal by elimination since the required pos3-11 HS common was confirmed at pos7 (Ewok Warrior)"
2,4,61,Strike Team Vanguard,,Common,Unit,Vigilance/Heroism,Normal,61,no,no,high,
2,5,176,Imposing Scout Walker,,Common,Unit,Aggression,Normal,176,no,no,high,
2,6,170,Desert Sharpshooter,,Common,Unit,Aggression,Normal,170,no,no,high,
2,7,430,Ewok Warrior,,Common,Unit,Aggression,Hyperspace,166,yes,no,high,"bare number 430, HS common in expected pos3-11 slot"
2,8,98,AT-ST Raider,,Common,Unit,Command/Villainy,Normal,98,no,no,high,
2,9,233,Keep Them Talking,,Common,Event,Cunning,Normal,233,no,no,high,
2,10,121,Blurrg,,Common,Unit,Command,Normal,121,no,no,high,
2,11,254,Gallofree Transport,,Common,Unit,Heroism,Normal,254,no,no,high,
2,12,556,Pointless to Resist,,Uncommon,Upgrade,Vigilance/Villainy,Hyperspace Foil,54,yes,yes,low,"card sits at edge of photo frame in every image provided (overview, quadrants, full-res); bottom edge with printed number is cropped out of frame entirely and unrecoverable; variant assigned Hyperspace Foil by positional convention (pos12 is always the pack foil slot per pack structure) pending physical re-check"
2,13,56,Huyang,Your Aptitude Falls Short,Uncommon,Unit,Vigilance/Heroism,Normal,56,no,no,high,
2,14,125,Stolen Eta Shuttle,,Uncommon,Unit,Command,Normal,125,no,no,high,
2,15,194,Snub Fighter Squadron,,Uncommon,Unit,Cunning/Villainy,Normal,194,no,no,high,
2,16,183,Whistling Birds,,Legendary,Upgrade,Aggression,Normal,183,no,no,high,
3,1,6,Sabine Wren,Bargaining on Belief,Common,Leader,Vigilance/Heroism,Normal,6,no,no,high,printed number obscured by embossed-foil glare on leader border; identified via name+subtitle+rarity+aspect match and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]
3,2,23,Ancient Henge,,Common,Base,Aggression,Hyperspace,23,no,1,medium,printed number not legible in available crops; identified via unique name and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]; variant corrected via 2026-07-12 number-first re-read (read None)
3,3,238,Attendant Navigator,,Common,Unit,Villainy,Normal,238,no,no,high,
3,4,86,Durasteel Plating,,Common,Upgrade,Vigilance,Normal,86,no,no,high,
3,5,175,Wookiee Chieftain,,Common,Unit,Aggression,Normal,175,no,no,high,
3,6,242,Death Trooper Squad,,Common,Unit,Villainy,Normal,242,no,no,high,
3,7,482,Ferry Droid,,Common,Unit,Cunning,Hyperspace,218,yes,no,high,"bare number 482, HS common in expected pos3-11 slot"
3,8,221,Helix Starfighter,,Common,Unit,Cunning,Normal,221,no,no,high,
3,9,117,Outland Protector,,Common,Unit,Command,Normal,117,no,no,high,
3,10,213,Womp Rat,,Common,Unit,Cunning,Normal,213,no,no,high,
3,11,262,Faith in the Empire,,Common,Upgrade,,Normal,262,no,no,high,
3,12,765,The Way of the Mand'alor,,Common,Upgrade,,Hyperspace Foil,263,yes,yes,high,"foil slot pos12, clearly read bare number 765 in 529-766 range"
3,13,223,Halo,Not According to Plan,Uncommon,Unit,Cunning,Normal,223,no,no,high,
3,14,160,Kachirho Militia,,Uncommon,Unit,Aggression/Heroism,Normal,160,no,no,high,
3,15,294,Marrok,Mysterious Warrior,Rare,Unit,Vigilance/Aggression/Villainy,Hyperspace,30,yes,no,high,"bare number 294; Rare card in Hyperspace form occupying pos15 (uncommon slot), no sanity rule violated"
3,16,219,Jod Na Nawood,Keeping Secrets,Rare,Unit,Cunning,Normal,219,no,no,high,
4,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Cunning/Heroism,Hyperspace,17,no,1,medium,printed number obscured/out of focus at card edge; identified via name+subtitle+rarity+aspect match and bordered (non-hyperspace) frame; overview photo required 180-degree rotation to read (pull order runs bottom-to-top of raw photo) [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]; variant corrected via 2026-07-12 number-first re-read (read None)
4,2,19,Fortress of the Great Mothers,,Common,Base,Vigilance,Normal,19,no,no,high,printed number obscured/out of focus; identified via unique name and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]
4,3,166,Ewok Warrior,,Common,Unit,Aggression,Normal,166,no,no,high,
4,4,92,Foundling Rescue,,Common,Event,Vigilance,Normal,92,no,no,high,
4,5,181,Mark My Words,,Common,Upgrade,Aggression,Normal,181,no,no,high,
4,6,381,Outland Protector,,Common,Unit,Command,Hyperspace,117,yes,no,high,"bare number 381, HS common in pos3-11 slot"
4,7,96,Forest Patroller,,Common,Unit,Command/Villainy,Normal,96,no,no,medium,last digit blurred (0 vs 6); unique name match confirms 96
4,8,222,Unsanctioned Patrol,,Common,Unit,Cunning,Normal,222,no,no,high,
4,9,140,Stronger Together,,Common,Event,Command,Normal,140,no,no,high,
4,10,207,Heroic Purrgil,,Common,Unit,Cunning/Heroism,Normal,207,no,no,high,
4,11,214,Amnesty Officer,,Common,Unit,Cunning,Normal,214,no,no,medium,"printed number illegible (blur); identified via unique name/rarity match; matte non-foil appearance confirms Normal, not the pack's foil"
4,12,553,Reinforcing Light Cruiser,,Common,Unit,Vigilance/Villainy,Hyperspace Foil,51,yes,yes,medium,"foil slot pos12; entire card face overexposed/blown out by holographic sheen (distinct full-card foil glare unlike ordinary lighting glare on other cards), printed number unreadable directly; number computed from foil-pool offset and confirmed by unique name match"
4,13,72,Doctor Pershing,Dedicated to Research,Uncommon,Unit,Vigilance,Normal,72,no,no,high,appeared shiny/glary in photo but printed number 72/264 confirms Normal
4,14,113,Mandalorian Flagship,Captured from the Empire,Uncommon,Unit,Command/Heroism,Normal,113,no,no,high,
4,15,241,Marrok's Fiend Fighter,Formidable Pursuer,Uncommon,Unit,Villainy,Normal,241,no,no,high,UC3 slot
4,16,30,Marrok,Mysterious Warrior,Rare,Unit,Vigilance/Aggression/Villainy,Normal,30,no,no,high,
5,1,4,Grand Admiral Thrawn,Victory is Mine,Rare,Leader,Vigilance/Villainy,Normal,4,no,no,high,"printed number in shadow/underexposed area, unreadable directly; identified via name+subtitle+rarity+aspect match and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]"
5,2,25,Emperor's Observatory,,Common,Base,Cunning,Normal,25,no,no,high,"entire border overexposed/blown out white (bases have an inherently metallic foil-stamped border independent of variant), number unreadable directly; identified via partial name match (""Emperor's Observ..."") and bordered frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]"
5,3,78,B-Wing Rearguard,,Common,Unit,Vigilance,Normal,78,no,no,high,appeared glary in photo but printed number 78/264 confirms Normal
5,4,174,StarFortress Heavy Bomber,,Common,Unit,Aggression,Normal,174,no,no,high,
5,5,237,Mouse Droid,,Common,Unit,Villainy,Normal,237,no,no,medium,printed number blurred/illegible; identified via unique name+rarity match
5,6,87,Cybernetic Enhancements,,Common,Upgrade,Vigilance,Normal,87,no,no,medium,printed number blurred/illegible; identified via unique name+rarity match
5,7,526,Faith in the Empire,,Common,Upgrade,,Hyperspace,262,yes,no,high,"bare number 526, HS common in pos3-11 slot"
5,8,258,Grassroots Resistance,,Common,Event,Heroism,Normal,258,no,no,high,
5,9,126,Survivors' Langskib,,Common,Unit,Command,Normal,126,no,no,high,
5,10,201,Open Circle Ace,,Common,Unit,Cunning/Heroism,Normal,201,no,no,high,
5,11,136,Display of Strength,,Common,Event,Command,Normal,136,no,no,high,
5,12,659,Danger Squadron Wingmen,,Common,Unit,Aggression/Heroism,Hyperspace Foil,157,yes,yes,high,"foil slot pos12, bare number 659 clearly legible"
5,13,147,The Cyborg Mech,Mysterious Threat,Uncommon,Unit,Aggression/Villainy,Normal,147,no,no,high,
5,14,93,Captain Pellaeon,Plotting from the Shadows,Uncommon,Unit,Command/Villainy,Normal,93,no,no,high,
5,15,296,Rancor Keeper,,Uncommon,Unit,Vigilance/Aggression,Hyperspace,32,yes,no,high,"UC3 slot, bare number 296 clearly legible"
5,16,182,Unfettered Ambition,,Rare,Upgrade,Aggression,Normal,182,no,no,high,
6,1,3,Baylan Skoll,Power Beyond Dream,Common,Leader,Vigilance/Villainy,Normal,3,no,no,high,"printed number in shadow/underexposed area, unreadable directly; identified via name+subtitle+rarity+aspect match and bordered (non-hyperspace) frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]"
6,2,23,Ancient Henge,,Common,Base,Aggression,Normal,23,no,no,high,"entire border overexposed by metallic foil-stamped base border, number unreadable directly; identified via partial name match and bordered frame [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]"
6,3,164,Alamite Hunter,,Common,Unit,Aggression,Normal,164,no,no,medium,"number partially obscured by glare; identified via unique name+rarity match, matte/bordered frame"
6,4,80,Covert Believers,,Common,Unit,Vigilance,Normal,80,no,no,high,
6,5,244,Remnant Trooper Corps,,Common,Unit,Villainy,Normal,244,no,no,high,
6,6,145,Praetorian Elite,,Common,Unit,Aggression/Villainy,Normal,145,no,no,high,
6,7,407,Tempest Lieutenant,,Common,Unit,Aggression/Villainy,Hyperspace,143,yes,no,high,"bare number 407, HS common in pos3-11 slot"
6,8,249,Covert Veteran,,Common,Unit,Heroism,Normal,249,no,no,high,
6,9,216,Mandalorian Scout,,Common,Unit,Cunning,Normal,216,no,no,high,
6,10,122,Consortium StarViper,,Common,Unit,Command,Normal,122,no,no,high,
6,11,231,Diplomatic Pageantry,,Common,Event,Cunning,Normal,231,no,no,high,
6,12,640,Turning the Tide,,Common,Event,Command,Hyperspace Foil,138,yes,yes,high,"foil slot pos12, bare number 640 clearly legible"
6,13,68,Domesticated Loth-Cat,,Uncommon,Unit,Vigilance,Normal,68,no,no,high,
6,14,108,Crix Madine,Strike Team Strategist,Uncommon,Unit,Command/Heroism,Normal,108,no,no,high,
6,15,253,Yellow Aces Bomber,,Uncommon,Unit,Heroism,Normal,253,no,no,high,UC3 slot
6,16,102,Ravager,Final Imperial Command,Legendary,Unit,Command/Villainy,Normal,102,no,no,high,
7,1,16,Shin Hati,Eager Adversary,Common,Leader,Cunning/Villainy,Hyperspace,16,no,1,medium,"number obscured by blur/reflection; identity confirmed via name+subtitle match, standard gold border confirms Normal [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]; variant corrected via 2026-07-12 number-first re-read (read None)"
7,2,20,"Nevarro City, Restored",,Common,Base,Vigilance,Normal,20,no,no,high,number obscured by blur; standard border and HP 30 confirm Normal [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]
7,3,48,Imperial Armored Commando,,Common,Unit,Vigilance/Villainy,Normal,48,no,no,high,severe glare fully obscured printed number; inferred from name match plus structure (pos7 already holds the sole HS common in this pack) [VERIFY: Normal bordered frame + Vigilance/Villainy confirmed; pack HS common is Perseverance #353]
7,4,167,Flarestar Attack Shuttle,,Common,Unit,Aggression,Normal,167,no,no,high,
7,5,246,Exploit Advantage,,Common,Event,Villainy,Normal,246,no,no,high,
7,6,89,Perseverance,,Common,Event,Vigilance,Normal,89,no,no,high,
7,7,353,Perseverance,,Common,Event,Vigilance,Hyperspace,89,no,yes,high,bare number confirmed 353 via zoom crop; initial read misidentified as 553
7,8,130,Fang Fighter Squadron,,Common,Unit,Command,Normal,130,no,no,high,
7,9,215,Flanking TIE Interceptor,,Common,Unit,Cunning,Normal,215,no,no,high,
7,10,264,A New Order,,Common,Event,,Normal,264,no,no,high,
7,11,138,Turning the Tide,,Common,Event,Command,Normal,138,no,no,high,
7,12,563,Strike Team Vanguard,,Common,Unit,Vigilance/Heroism,Hyperspace Foil,61,yes,yes,high,
7,13,187,Reckoning,,Uncommon,Event,Aggression,Normal,187,no,no,high,
7,14,74,Mos Eisley Modifier,,Uncommon,Unit,Vigilance,Normal,74,no,no,high,
7,15,119,Greef Karga,Introductions are in Order,Uncommon,Unit,Command,Normal,119,no,no,high,
7,16,105,Bo-Katan Kryze,For All of Mandalore,Rare,Unit,Command/Heroism,Normal,105,no,no,high,
8,1,8,Moff Gideon,Indomitable Warlord,Common,Leader,Command/Villainy,Normal,8,no,no,high,"number illegible (glare/dark art); identity confirmed via name+subtitle match, standard border confirms Normal [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]"
8,2,22,Kryze Castle,,Common,Base,Command,Normal,22,no,no,high,"number illegible due to motion blur; subtitle ""Kalevala"" and HP 30 confirm identity, standard border confirms Normal [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]"
8,3,152,Inspired Recruit,,Common,Unit,Aggression/Heroism,Normal,152,no,no,high,
8,4,58,Duchess's Protector,,Common,Unit,Vigilance/Heroism,Normal,58,no,no,high,
8,5,143,Tempest Lieutenant,,Common,Unit,Aggression/Villainy,Normal,143,no,no,low,"number illegible due to motion blur; inferred from name match, Normal assumed since pos7 already holds the sole HS common"
8,6,260,Mos Espa Watermonger,,Common,Unit,,Normal,260,no,no,low,number illegible due to motion blur; title partially read and colorless/neutral border matches this card uniquely
8,7,492,Preparation,,Common,Upgrade,Cunning,Hyperspace,228,no,yes,medium,bare number read as 432 on first pass (no card matches); corrected to 492 which matches Preparation Hyperspace exactly
8,8,228,Preparation,,Common,Upgrade,Cunning,Normal,228,no,no,high,
8,9,134,Warrior's Legacy,,Common,Upgrade,Command,Normal,134,no,no,high,
8,10,189,Emperor's Messenger,,Common,Unit,Cunning/Villainy,Normal,189,no,no,high,
8,11,256,Rebel Infiltrators,,Common,Unit,Heroism,Normal,256,no,no,low,"number illegible due to motion blur; inferred from name match, Normal assumed since pos7 already holds the sole HS common"
8,12,721,Jod Na Nawood,Keeping Secrets,Rare,Unit,Cunning,Hyperspace Foil,219,yes,yes,medium,"number obscured by strong specular glare off the foil surface; foil look clearly visible, identity confirmed via name+subtitle, number inferred from the unique HSF reference entry"
8,13,210,DDC Defender,,Uncommon,Upgrade,Cunning/Heroism,Normal,210,no,no,high,
8,14,41,Outcast,Mercenary Starship,Uncommon,Unit,Aggression/Cunning,Normal,41,no,no,high,
8,15,379,The Student Guides the Master,,Uncommon,Event,Command/Heroism,Hyperspace,115,no,yes,high,
8,16,101,The Great Mothers,With Strange Magicks,Rare,Unit,Command/Villainy,Normal,101,no,no,high,
9,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Cunning/Heroism,Hyperspace,17,no,1,medium,"exact digits illegible (blur); identity confirmed via name+subtitle match, standard border confirms Normal [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]; variant corrected via 2026-07-12 number-first re-read (read None)"
9,2,22,Kryze Castle,,Common,Base,Command,Hyperspace,22,no,1,medium,"exact digits illegible (blur); location ""Kalevala"" and HP 30 confirm identity, standard border confirms Normal [VERIFY box-006: variant Normal confirmed by bordered leader/base frame; identity unique in reference]; variant corrected via 2026-07-12 number-first re-read (read None)"
9,3,69,Noti Nomad,,Common,Unit,Vigilance,Normal,69,no,no,low,"number illegible due to glare; inferred from name match, Normal assumed since pos7 already holds the sole HS common"
9,4,188,Galvanized Leap,,Common,Event,Aggression,Normal,188,no,no,low,"number illegible due to glare; inferred from name match, Normal assumed since pos7 already holds the sole HS common"
9,5,45,Reanimated Night Trooper,,Common,Unit,Vigilance/Villainy,Normal,45,no,no,high,
