pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,6,Sabine Wren,Bargaining on Belief,Common,Leader,Vigilance/Heroism,Normal,6,no,no,high,leader variant unverifiable at this resolution
1,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,no,no,high,base variant unverifiable at this resolution
1,3,189,Emperor's Messenger,,Common,Unit,Cunning/Villainy,Normal,189,no,no,high,
1,4,141,TIE Striker,,Common,Unit,Aggression/Villainy,Normal,141,no,no,high,
1,5,256,Rebel Infiltrators,,Common,Unit,Heroism,Normal,256,no,no,high,
1,6,71,Battered Haulcraft,,Common,Unit,Vigilance,Normal,71,no,no,high,
1,7,497,Keep Them Talking,,Common,Event,Cunning,Hyperspace,233,no,assumed,medium,pos7 HS assignment by structural rule not visual glare/border confirmation
1,8,188,Galvanized Leap,,Common,Event,Aggression,Normal,188,no,no,high,
1,9,237,Mouse Droid,,Common,Unit,Villainy,Normal,237,no,no,high,
1,10,190,Peridea Bandit,,Common,Unit,Cunning/Villainy,Normal,190,no,no,medium,"blank/glare-like art-text box in photo but treated as vanilla common, not the foil"
1,11,228,Preparation,,Common,Upgrade,Cunning,Normal,228,no,no,high,
1,12,636,Warrior's Legacy,,Common,Upgrade,Command,Hyperspace Foil,134,assumed,assumed,medium,pos12 foil assignment by structural rule not visual glare confirmation
1,13,119,Greef Karga,Introductions are in Order,Uncommon,Unit,Command,Normal,119,no,no,high,
1,14,150,Deadly Vulnerability,,Uncommon,Upgrade,Aggression/Villainy,Normal,150,no,no,high,
1,15,217,Mayor's Majordomo,No Problem Groveling,Uncommon,Unit,Cunning,Normal,217,no,no,high,"clean pack, no UC3 upgrade signal (rarity is plain Uncommon)"
1,16,177,Onyx Cinder,Adventure Awaits,Rare,Unit,Aggression,Normal,177,no,no,high,
2,1,12,Vane,Quarrelsome Pirate,Rare,Leader,Aggression/Villainy,Normal,12,no,no,high,leader variant unverifiable at this resolution
2,2,26,Freetown,,Common,Base,Cunning,Normal,26,no,no,high,base variant unverifiable at this resolution
2,3,89,Perseverance,,Common,Event,Vigilance,Normal,89,no,no,high,
2,4,131,Dinosaur Turtle,,Common,Unit,Command,Normal,131,no,no,high,
2,5,167,Flarestar Attack Shuttle,,Common,Unit,Aggression,Normal,167,no,no,high,
2,6,227,Heightened Awareness,,Common,Upgrade,Cunning,Normal,227,no,no,high,
2,7,525,Noti Mobile Pod,,Common,Unit,,Hyperspace,261,no,assumed,medium,pos7 HS assignment by structural rule not visual glare/border confirmation
2,8,145,Praetorian Elite,,Common,Unit,Aggression/Villainy,Normal,145,no,no,high,
2,9,48,Imperial Armored Commando,,Common,Unit,Vigilance/Villainy,Normal,48,no,no,high,
2,10,73,Palace Chef Droid,,Common,Unit,Vigilance,Normal,73,no,no,high,
2,11,98,AT-ST Raider,,Common,Unit,Command/Villainy,Normal,98,no,no,high,
2,12,736,Masterstroke,,Common,Event,Cunning,Hyperspace Foil,234,assumed,assumed,medium,pos12 foil assignment by structural rule not visual glare confirmation
2,13,72,Doctor Pershing,Dedicated to Research,Uncommon,Unit,Vigilance,Normal,72,no,no,high,
2,14,35,Tatooine Repulsor Train,,Uncommon,Unit,Command/Aggression,Normal,35,no,no,high,
2,15,368,Dathomiri Magicks,,Rare,Event,Command/Villainy,Hyperspace,104,no,assumed,medium,"UC3 upgrade: 2 Rares present in pack (this + Bo-Katan Kryze) vs 1 true Uncommon+1 Rare expected; treated as UC3->Hyperspace-Rare upgrade, other Rare kept as pos16 slot - which card fills which slot is a guess"
2,16,105,Bo-Katan Kryze,For All of Mandalore,Rare,Unit,Command/Heroism,Normal,105,no,no,medium,assigned as the pos16 rare slot; see note on pos15
3,1,282,Grogu,Charming Companion,Rare,Leader,Cunning/Heroism,Hyperspace,18,no,1,medium,leader variant unverifiable at this resolution; variant corrected via 2026-07-12 number-first re-read (read 282)
3,2,24,Dragonsnake Bog,,Common,Base,Aggression,Normal,24,no,no,high,base variant unverifiable at this resolution
3,3,171,Pegasus Tri-Wing,,Common,Unit,Aggression,Normal,171,no,no,high,
3,4,214,Amnesty Officer,,Common,Unit,Cunning,Normal,214,no,no,high,
3,5,69,Noti Nomad,,Common,Unit,Vigilance,Normal,69,no,no,high,
3,6,111,Children of the Watch,,Common,Unit,Command/Heroism,Normal,111,no,no,high,
3,7,428,Alamite Hunter,,Common,Unit,Aggression,Hyperspace,164,no,assumed,medium,pos7 HS assignment by structural rule not visual glare/border confirmation
3,8,106,Pathfinder Sergeant,,Common,Unit,Command/Heroism,Normal,106,no,no,high,
3,9,87,Cybernetic Enhancements,,Common,Upgrade,Vigilance,Normal,87,no,no,high,
3,10,237,Mouse Droid,,Common,Unit,Villainy,Normal,237,no,no,high,
3,11,251,Zealous Soldier,,Common,Unit,Heroism,Normal,251,no,no,high,
3,12,609,Clan Wren Loyalist,,Common,Unit,Command/Heroism,Hyperspace Foil,107,assumed,assumed,medium,pos12 foil assignment by structural rule not visual glare confirmation
3,13,88,The Conflict Within,,Uncommon,Upgrade,Vigilance,Normal,88,no,no,high,
3,14,178,Knobby White Ice Spider,,Uncommon,Unit,Aggression,Normal,178,no,no,high,
3,15,226,Qi'ra,Master of Teräs Käsi,Uncommon,Unit,Cunning,Normal,226,no,no,high,"clean pack, no UC3 upgrade signal (rarity is plain Uncommon)"
3,16,62,The Mandalorian,Devoted Rescuer,Legendary,Unit,Vigilance/Heroism,Normal,62,no,no,high,
4,1,11,Cad Bane,Still Faster than You,Common,Leader,Aggression/Villainy,Normal,11,no,no,high,leader variant unverifiable at this resolution
4,2,26,Freetown,,Common,Base,Cunning,Normal,26,no,no,high,base variant unverifiable at this resolution
4,3,244,Remnant Trooper Corps,,Common,Unit,Villainy,Normal,244,no,no,high,
4,4,129,Defenders of the Forest,,Common,Unit,Command,Normal,129,no,no,high,
4,5,165,Clan Vizsla Soldier,,Common,Unit,Aggression,Normal,165,no,no,high,
4,6,232,Full of Surprises,,Common,Event,Cunning,Normal,232,no,no,high,
4,7,345,Nebulon-C Frigate,,Common,Unit,Vigilance,Hyperspace,81,no,assumed,medium,pos7 HS assignment by structural rule not visual glare/border confirmation
4,8,145,Praetorian Elite,,Common,Unit,Aggression/Villainy,Normal,145,no,no,high,
4,9,164,Alamite Hunter,,Common,Unit,Aggression,Normal,164,no,no,high,
4,10,263,The Way of the Mand'alor,,Common,Upgrade,,Normal,263,no,no,high,
4,11,225,Tatooine Sand Beast,,Common,Unit,Cunning,Normal,225,no,no,high,
4,12,725,Halo,Not According to Plan,Uncommon,Unit,Cunning,Hyperspace Foil,223,assumed,assumed,low,structural anomaly: only 9 commons + 4 uncommons + 1 rare present (vs expected 10 commons/3 uncommons); treated as foil slot filled by an Uncommon-rarity HS Foil rather than a common - which of the 4 uncommons fills pos12 vs pos13-15 is a guess
4,13,50,Morgan Elsbeth,Life Abandoned,Uncommon,Unit,Vigilance/Villainy,Normal,50,no,no,high,
4,14,209,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Cunning/Heroism,Normal,209,no,no,high,
4,15,97,Moff Gideon,Remnant Commander,Uncommon,Unit,Command/Villainy,Normal,97,no,no,high,
4,16,47,Gar Saxon,Coveting Power,Rare,Unit,Vigilance/Villainy,Normal,47,no,no,high,
5,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Cunning/Heroism,Normal,17,no,no,high,leader variant unverifiable at this resolution
5,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,no,no,high,base variant unverifiable at this resolution
5,3,58,Duchess's Protector,,Common,Unit,Vigilance/Heroism,Normal,58,no,no,high,
5,4,205,Inspiring Veteran,,Common,Unit,Cunning/Heroism,Normal,205,no,no,high,
5,5,143,Tempest Lieutenant,,Common,Unit,Aggression/Villainy,Normal,143,no,no,high,
5,6,124,Protectorate Fighter,,Common,Unit,Command,Normal,124,no,no,high,
