pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
1,1,276,Vane,Quarrelsome Pirate,Rare,Leader,Hyperspace,leader,true,high,
1,2,502,Attendant Navigator,,Common,Unit,Hyperspace,hs,true,high,
1,3,400,Display of Strength,,Common,Event,Hyperspace,hs,true,high,
1,4,471,Heroic Purrgil,,Common,Unit,Hyperspace,hs,true,high,
1,5,355,Buy Time,,Common,Event,Hyperspace,hs,true,high,
1,6,332,Domesticated Loth-Cat,,Uncommon,Unit,Hyperspace,hs,true,high,
1,7,507,Darth Vader,Meet Your Destiny,Special,Unit,Hyperspace,hs,true,high,
1,8,387,Lang,Arrogant Mercenary,Rare,Unit,Hyperspace,hs,true,high,
1,9,467,Mando's N-1 Starfighter,Faster than a Fathier,Rare,Unit,Hyperspace,hs,true,low,number edge/glare-inferred; treatment+structure consistent
1,10,804,Grogu,Yes. Yes. Yes.,Legendary,Unit,Standard Prestige,prestige,true,high,
1,11,689,Reckoning,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
1,12,576,Mos Eisley Modifier,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
1,13,589,Cybernetic Enhancements,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
1,14,748,Exploit Advantage,,Common,Event,Hyperspace Foil,hsf,true,high,
1,15,735,Keep Them Talking,,Common,Event,Hyperspace Foil,hsf,true,high,
1,16,647,Praetorian Elite,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,1,472,Sabine Wren,I Learned the Hard Way,Uncommon,Unit,Hyperspace,leader,true,low,number edge/glare-inferred; treatment+structure consistent
2,2,515,Zealous Soldier,,Common,Unit,Hyperspace,hs,true,high,
2,3,394,Fang Fighter Squadron,,Common,Unit,Hyperspace,hs,true,high,
2,4,405,TIE Striker,,Common,Unit,Hyperspace,hs,true,high,
2,5,465,Open Circle Ace,,Common,Unit,Hyperspace,hs,true,high,
2,6,322,Duchess's Protector,,Common,Unit,Hyperspace,hs,true,high,
2,7,363,Gozanti Assault Carrier,,Uncommon,Unit,Hyperspace,hs,true,high,
2,8,473,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Hyperspace,hs,true,high,
2,9,460,Gorian Shard's Corsair,Pirate Warship,Legendary,Unit,Hyperspace,hs,true,high,
2,10,836,Purrgil Ultra,,Uncommon,Unit,Foil Prestige,prestige,true,high,
2,11,530,Paz Vizsla,For a Brighter Future,Rare,Unit,Hyperspace Foil,hsf,true,high,
2,12,611,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
2,13,760,Grassroots Resistance,,Common,Event,Hyperspace Foil,hsf,true,high,
2,14,734,Full of Surprises,,Common,Event,Hyperspace Foil,hsf,true,high,
2,15,628,Survivors' Langskib,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,16,667,Clan Vizsla Soldier,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,1,267,Baylan Skoll,Power Beyond Dream,Common,Leader,Hyperspace,leader,true,high,
3,2,498,Masterstroke,,Common,Event,Hyperspace,hs,true,high,
3,3,525,Noti Mobile Pod,,Common,Unit,Hyperspace,hs,true,high,
3,4,346,Trexler Armored Marauder,,Common,Unit,Hyperspace,hs,true,high,
3,5,404,Stronger Together,,Common,Event,Hyperspace,hs,true,high,
3,6,418,Honorable Nite Owl,,Common,Unit,Hyperspace,hs,true,high,
3,7,352,The Conflict Within,,Uncommon,Upgrade,Hyperspace,hs,true,high,
3,8,436,Razor Crest,Outfitted Armament,Uncommon,Unit,Hyperspace,hs,true,high,
3,9,343,Koska Reeves,Warrior of Mandalore,Rare,Unit,Hyperspace,hs,true,high,
3,10,827,Summa-verminoth,,Legendary,Unit,Standard Prestige,prestige,true,high,
3,11,566,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
3,12,664,Rash Action,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
3,13,707,Inspiring Veteran,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,14,669,Flarestar Attack Shuttle,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,15,619,Outland Protector,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,16,547,Reanimated Night Trooper,,Common,Unit,Hyperspace Foil,hsf,true,low,number edge/glare-inferred; treatment+structure consistent
4,1,383,Greef Karga,Introductions are in Order,Uncommon,Unit,Hyperspace,leader,true,high,
4,2,479,Flanking TIE Interceptor,,Common,Unit,Hyperspace,hs,true,high,
4,3,518,Gallofree Transport,,Common,Unit,Hyperspace,hs,true,high,
4,4,342,B-Wing Rearguard,,Common,Unit,Hyperspace,hs,true,high,
4,5,359,Remnant Interceptor,,Common,Unit,Hyperspace,hs,true,high,
4,6,416,Inspired Recruit,,Common,Unit,Hyperspace,hs,true,high,
4,7,379,The Student Guides the Master,,Uncommon,Event,Hyperspace,hs,true,high,
4,8,487,Halo,Not According to Plan,Uncommon,Unit,Hyperspace,hs,true,high,
4,9,334,At Attin Safety Droid,,Rare,Unit,Hyperspace,hs,true,high,
4,10,857,Mando's N-1 Starfighter,Faster than a Fathier,Rare,Unit,Foil Prestige,prestige,true,high,
4,11,684,Unfettered Ambition,,Rare,Upgrade,Hyperspace Foil,hsf,true,high,
4,12,712,DDC Defender,,Uncommon,Upgrade,Hyperspace Foil,hsf,true,high,
4,13,677,Wookiee Chieftain,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,14,622,Warrior of Clan Kryze,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,15,575,Palace Chef Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,16,746,Remnant Trooper Corps,,Common,Unit,Hyperspace Foil,hsf,true,low,number edge/glare-inferred; treatment+structure consistent
5,1,328,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Hyperspace,leader,true,high,
5,2,486,Unsanctioned Patrol,,Common,Unit,Hyperspace,hs,true,high,
5,3,528,A New Order,,Common,Event,Hyperspace,hs,true,high,
5,4,393,Defenders of the Forest,,Common,Unit,Hyperspace,hs,true,high,
5,5,340,Remnant Official,,Common,Unit,Hyperspace,hs,true,high,
5,6,448,Follow Me,,Common,Event,Hyperspace,hs,true,high,
5,7,296,Rancor Keeper,,Uncommon,Unit,Hyperspace,hs,true,high,
5,8,463,There Is No Conflict,,Special,Upgrade,Hyperspace,hs,true,high,
5,9,408,Vane's Snub Fighter,Brash and Proud,Rare,Unit,Hyperspace,hs,true,high,
5,10,830,Darth Vader,Meet Your Destiny,Special,Unit,Standard Prestige,prestige,true,high,
5,11,617,The Student Guides the Master,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
5,12,658,R5-D4,Built for Adventure,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
5,13,636,Warrior's Legacy,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
5,14,740,Attendant Navigator,,Common,Unit,Hyperspace Foil,hsf,true,high,
