pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,11,Cad Bane,Still Faster than You,Common,Leader,Aggression/Villainy,Normal,11,no,0,reviewed,"leader card rotated in photo, printed number illegible due to blur/glare; identity confirmed via name+ability text+rarity icon, number inferred from reference"
1,2,22,Kryze Castle,,Common,Base,Command,Normal,22,no,0,reviewed,"base card rotated in photo, printed number illegible due to blur; identity confirmed via name text, number inferred from reference"
1,3,173,Shydopp Pirate Skiff,,Common,Unit,Aggression,Normal,173,no,0,high,
1,4,78,B-Wing Rearguard,,Common,Unit,Vigilance,Normal,78,no,0,high,
1,5,152,Inspired Recruit,,Common,Unit,Aggression/Heroism,Normal,152,no,0,high,
1,6,73,Palace Chef Droid,,Common,Unit,Vigilance,Normal,73,no,0,high,
1,7,322,Duchess's Protector,,Common,Unit,Vigilance/Heroism,Hyperspace,58,no,1,high,
1,8,111,Children of the Watch,,Common,Unit,Command/Heroism,Normal,111,no,0,reviewed,"number strip washed out by glare in photo; identity confirmed via name+ability text, number inferred from reference (only 1 HS common already found at pos7)"
1,9,263,The Way of the Mand'alor,,Common,Upgrade,,Normal,263,no,0,high,
1,10,234,Masterstroke,,Common,Event,Cunning,Normal,234,no,0,high,
1,11,95,Remnant Interceptor,,Common,Unit,Command/Villainy,Normal,95,no,0,high,
1,12,619,Outland Protector,,Common,Unit,Command,Hyperspace Foil,117,yes,1,high,
1,13,125,Stolen Eta Shuttle,,Uncommon,Unit,Command,Normal,125,no,0,high,
1,14,223,Halo,Not According to Plan,Uncommon,Unit,Cunning,Normal,223,no,0,high,
1,15,397,Trask Walker,,Uncommon,Unit,Command,Hyperspace,133,no,1,high,
1,16,123,Lang,Arrogant Mercenary,Rare,Unit,Command,Normal,123,no,0,high,
2,1,266,Fennec Shand,Ready for War,Rare,Leader,Aggression/Cunning,Hyperspace,2,no,1,reviewed,"leader card printed number illegible in photo (dark corner); identity confirmed via name+ability text+rarity, number inferred from reference"
2,2,25,Emperor's Observatory,,Common,Base,Cunning,Normal,25,no,0,reviewed,"base card printed number illegible in photo (dark corner); identity confirmed via name text, number inferred from reference"
