pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
1,1,268,Grand Admiral Thrawn,Victory is Mine,Rare,Leader,Hyperspace,leader,true,high,
1,2,524,Mos Espa Watermonger,,Common,Unit,Hyperspace,hs,true,high,
1,3,437,Shydopp Pirate Skiff,,Common,Unit,Hyperspace,hs,true,high,
1,4,312,Imperial Armored Commando,,Common,Unit,Hyperspace,hs,true,high,
1,5,395,Dinosaur Turtle,,Common,Unit,Hyperspace,hs,true,high,
1,6,484,Remnant Lookouts,,Uncommon,Unit,Hyperspace,hs,true,high,
1,7,377,Mandalorian Flagship,Captured from the Empire,Uncommon,Unit,Hyperspace,hs,true,high,
1,8,436,Razor Crest,Outfitted Armament,Uncommon,Unit,Hyperspace,hs,true,high,
1,9,378,Sabine's Lightsaber,Not Alone,Rare,Upgrade,Hyperspace,hs,true,high,
1,10,841,Cobb Vanth,Let Me Handle This,Rare,Unit,Foil Prestige,prestige,true,high,
1,11,541,Baylan Skoll,Fallen Jedi,Rare,Unit,Hyperspace Foil,hsf,true,high,
1,12,574,Doctor Pershing,Dedicated to Research,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
1,13,689,Reckoning,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
1,14,589,Cybernetic Enhancements,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
1,15,748,Exploit Advantage,,Common,Event,Hyperspace Foil,hsf,true,high,
1,16,735,Keep Them Talking,,Common,Event,Hyperspace Foil,hsf,true,high,
2,1,303,Baylan Skoll,Fallen Jedi,Rare,Unit,Hyperspace,leader,true,high,
2,2,514,Imperial Defector,,Common,Unit,Hyperspace,hs,true,high,
2,3,491,Heightened Awareness,,Common,Upgrade,Hyperspace,hs,true,high,
2,4,344,Covert Believers,,Common,Unit,Hyperspace,hs,true,high,
2,5,434,Desert Sharpshooter,,Common,Unit,Hyperspace,hs,true,high,
2,6,380,Ant Droid,,Common,Unit,Hyperspace,hs,true,high,
2,7,357,Captain Pellaeon,Plotting from the Shadows,Uncommon,Unit,Hyperspace,hs,true,high,
2,8,331,Get Lost,,Uncommon,Event,Hyperspace,hs,true,high,
2,9,417,Green Leader,Crynyd's Sacrifice,Rare,Unit,Hyperspace,hs,true,high,
2,10,812,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Standard Prestige,prestige,true,high,
2,11,621,Greef Karga,Introductions are in Order,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
2,12,693,Shin Hati's Fiend Fighter,Compact and Agile,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
2,13,760,Grassroots Resistance,,Common,Event,Hyperspace Foil,hsf,true,high,
2,14,734,Full of Surprises,,Common,Event,Hyperspace Foil,hsf,true,high,
2,15,667,Clan Vizsla Soldier,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,16,628,Survivors' Langskib,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,1,272,Moff Gideon,Indomitable Warlord,Common,Leader,Hyperspace,leader,true,high,
3,2,513,Covert Veteran,,Common,Unit,Hyperspace,hs,true,high,
3,3,440,Imposing Scout Walker,,Common,Unit,Hyperspace,hs,true,high,
3,4,350,Durasteel Plating,,Common,Upgrade,Hyperspace,hs,true,high,
3,5,477,Womp Rat,,Common,Unit,Hyperspace,hs,true,high,
3,6,398,Warrior's Legacy,,Common,Upgrade,Hyperspace,hs,true,high,
3,7,308,Barriss Offee,Redeeming Herself,Uncommon,Unit,Hyperspace,hs,true,high,
3,8,463,There Is No Conflict,,Special,Upgrade,Hyperspace,hs,true,high,
3,9,512,Neel,The Cutest Boy,Rare,Unit,Hyperspace,hs,true,high,
3,10,797,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Standard Prestige,prestige,true,high,
3,11,685,Whistling Birds,,Legendary,Upgrade,Hyperspace Foil,hsf,true,high,
3,12,534,Rancor Keeper,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
3,13,707,Inspiring Veteran,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,14,669,Flarestar Attack Shuttle,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,15,619,Outland Protector,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,16,547,Reanimated Night Trooper,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,1,270,Sabine Wren,Bargaining on Belief,Common,Leader,Hyperspace,leader,true,high,
4,2,526,Faith in the Empire,,Common,Upgrade,Hyperspace,hs,true,high,
