pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Cunning/Heroism,Normal,17,unclear,unclear,high,"Leader; variant unverifiable at this resolution, defaulted Normal"
1,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,unclear,unclear,high,"Base; variant unverifiable at this resolution, defaulted Normal"
1,3,164,Alamite Hunter,,Common,Unit,Aggression,Normal,164,no,no,high,
1,4,111,Children of the Watch,,Common,Unit,Command/Heroism,Normal,111,no,no,high,
1,5,87,Cybernetic Enhancements,,Common,Upgrade,Vigilance,Normal,87,no,no,high,
1,6,263,The Way of the Mand'alor,,Common,Upgrade,,Normal,263,no,no,high,
1,7,508,Remnant Trooper Corps,,Common,Unit,Villainy,Hyperspace,244,no,unclear,high,pos7 slot invariant applied; no visually distinct borderless frame confirmed at photo resolution
1,8,174,StarFortress Heavy Bomber,,Common,Unit,Aggression,Normal,174,no,no,high,
1,9,181,Mark My Words,,Common,Upgrade,Aggression,Normal,181,no,no,high,
1,10,121,Blurrg,,Common,Unit,Command,Normal,121,no,no,high,
1,11,107,Clan Wren Loyalist,,Common,Unit,Command/Heroism,Normal,107,no,no,high,
1,12,716,Amnesty Officer,,Common,Unit,Cunning,Hyperspace Foil,214,unclear,unclear,high,pos12 foil slot invariant applied; no visible foil glare confirmed at photo resolution
1,13,108,Crix Madine,Strike Team Strategist,Uncommon,Unit,Command/Heroism,Normal,108,no,no,high,UC1
1,14,147,The Cyborg Mech,Mysterious Threat,Uncommon,Unit,Aggression/Villainy,Normal,147,no,no,high,UC2
1,15,156,R5-D4,Built for Adventure,Uncommon,Unit,Aggression/Heroism,Normal,156,no,no,high,UC3; no prestige/upgrade treatment visible
1,16,229,Camtono,,Rare,Upgrade,Cunning,Normal,229,no,no,high,Rare slot
2,1,11,Cad Bane,Still Faster than You,Common,Leader,Aggression/Villainy,Normal,11,unclear,unclear,high,"Leader; variant unverifiable at this resolution, defaulted Normal"
2,2,26,Freetown,,Common,Base,Cunning,Normal,26,unclear,unclear,high,"Base; variant unverifiable at this resolution, defaulted Normal"
2,3,165,Clan Vizsla Soldier,,Common,Unit,Aggression,Normal,165,no,no,high,
2,4,232,Full of Surprises,,Common,Event,Cunning,Normal,232,no,no,high,
2,5,81,Nebulon-C Frigate,,Common,Unit,Vigilance,Normal,81,no,no,high,
2,6,95,Remnant Interceptor,,Common,Unit,Command/Villainy,Normal,95,no,no,high,
2,7,409,Praetorian Elite,,Common,Unit,Aggression/Villainy,Hyperspace,145,no,unclear,high,pos7 slot invariant applied; no visually distinct borderless frame confirmed at photo resolution
2,8,58,Duchess's Protector,,Common,Unit,Vigilance/Heroism,Normal,58,no,no,high,
2,9,216,Mandalorian Scout,,Common,Unit,Cunning,Normal,216,no,no,high,
2,10,225,Tatooine Sand Beast,,Common,Unit,Cunning,Normal,225,no,no,high,
