pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,6,Sabine Wren,Bargaining on Belief,Common,Leader,Vigilance/Heroism,Normal,6,,270,high,Leader variant unverifiable at photo resolution; defaulted Normal per rule
1,2,26,Freetown,,Common,Base,Cunning,Normal,26,,290,high,Base variant unverifiable at photo resolution; defaulted Normal per rule
1,3,174,StarFortress Heavy Bomber,,Common,Unit,Aggression,Normal,174,676,438,high,
1,4,237,Mouse Droid,,Common,Unit,Villainy,Normal,237,739,501,high,
1,5,87,Cybernetic Enhancements,,Common,Upgrade,Vigilance,Normal,87,589,351,high,
1,6,164,Alamite Hunter,,Common,Unit,Aggression,Normal,164,666,428,high,
1,7,350,Durasteel Plating,,Common,Upgrade,Vigilance,Hyperspace,86,588,350,high,pos7 invariant: auto-assigned Hyperspace common slot
1,8,225,Tatooine Sand Beast,,Common,Unit,Cunning,Normal,225,727,489,high,
1,9,251,Zealous Soldier,,Common,Unit,Heroism,Normal,251,753,515,high,
1,10,129,Defenders of the Forest,,Common,Unit,Command,Normal,129,631,393,high,
1,11,205,Inspiring Veteran,,Common,Unit,Cunning/Heroism,Normal,205,707,469,high,first of two copies pulled this pack
1,12,707,Inspiring Veteran,,Common,Unit,Cunning/Heroism,Hyperspace Foil,205,707,469,high,pos12 invariant: auto-assigned Hyperspace Foil slot; second copy of same common
1,13,137,Wipe Them Out,,Uncommon,Event,Command,Normal,137,639,401,high,
1,14,29,Scorpenek Annihilator Droid,,Uncommon,Unit,Vigilance/Command,Normal,29,531,293,high,
1,15,41,Outcast,Mercenary Starship,Uncommon,Unit,Aggression/Cunning,Normal,41,543,305,medium,"UC3 slot; no visible rarity/prestige upgrade at photo resolution, kept Normal Uncommon"
1,16,195,Helgait,Dooku Was a Visionary,Rare,Unit,Cunning/Villainy,Normal,195,697,459,high,
2,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Cunning/Heroism,Normal,17,,281,high,Leader variant unverifiable at photo resolution; defaulted Normal per rule
2,2,25,Emperor's Observatory,,Common,Base,Cunning,Normal,25,,289,high,Base variant unverifiable at photo resolution; defaulted Normal per rule
2,3,80,Covert Believers,,Common,Unit,Vigilance,Normal,80,582,344,high,
2,4,244,Remnant Trooper Corps,,Common,Unit,Villainy,Normal,244,746,508,high,
2,5,145,Praetorian Elite,,Common,Unit,Aggression/Villainy,Normal,145,647,409,high,
2,6,48,Imperial Armored Commando,,Common,Unit,Vigilance/Villainy,Normal,48,550,312,high,
2,7,477,Womp Rat,,Common,Unit,Cunning,Hyperspace,213,715,477,high,pos7 invariant: auto-assigned Hyperspace common slot
2,8,107,Clan Wren Loyalist,,Common,Unit,Command/Heroism,Normal,107,609,371,high,
2,9,256,Rebel Infiltrators,,Common,Unit,Heroism,Normal,256,758,520,high,
2,10,193,Emperor's Champion,,Common,Unit,Cunning/Villainy,Normal,193,695,457,high,
2,11,124,Protectorate Fighter,,Common,Unit,Command,Normal,124,626,388,high,
2,12,669,Flarestar Attack Shuttle,,Common,Unit,Aggression,Hyperspace Foil,167,669,431,high,pos12 invariant: auto-assigned Hyperspace Foil slot
2,13,142,Mortar Trooper,,Uncommon,Unit,Aggression/Villainy,Normal,142,644,406,high,
2,14,103,Long Live the Empire,,Uncommon,Event,Command/Villainy,Normal,103,605,367,high,
2,15,236,Far Far Away,,Uncommon,Event,Cunning,Normal,236,738,500,medium,"UC3 slot; no visible rarity/prestige upgrade at photo resolution, kept Normal Uncommon"
2,16,144,Vane's Snub Fighter,Brash and Proud,Rare,Unit,Aggression/Villainy,Normal,144,646,408,high,
3,1,18,Grogu,Charming Companion,Rare,Leader,Cunning/Heroism,Normal,18,,282,high,Leader variant unverifiable at photo resolution; defaulted Normal per rule
3,2,20,"Nevarro City, Restored",,Common,Base,Vigilance,Normal,20,,284,high,Base variant unverifiable at photo resolution; defaulted Normal per rule
3,3,167,Flarestar Attack Shuttle,,Common,Unit,Aggression,Normal,167,669,431,high,
3,4,246,Exploit Advantage,,Common,Event,Villainy,Normal,246,748,510,high,
3,5,89,Perseverance,,Common,Event,Vigilance,Normal,89,591,353,high,
3,6,152,Inspired Recruit,,Common,Unit,Aggression/Heroism,Normal,152,654,416,high,
3,7,398,Warrior's Legacy,,Common,Upgrade,Command,Hyperspace,134,636,398,high,pos7 invariant: auto-assigned Hyperspace common slot
3,8,189,Emperor's Messenger,,Common,Unit,Cunning/Villainy,Normal,189,691,453,high,
3,9,116,Ant Droid,,Common,Unit,Command,Normal,116,618,380,high,
3,10,227,Heightened Awareness,,Common,Upgrade,Cunning,Normal,227,729,491,high,
3,11,111,Children of the Watch,,Common,Unit,Command/Heroism,Normal,111,613,375,high,
3,12,619,Outland Protector,,Common,Unit,Command,Hyperspace Foil,117,619,381,high,pos12 invariant: auto-assigned Hyperspace Foil slot
3,13,85,Grav Charge,,Uncommon,Upgrade,Vigilance,Normal,85,587,349,high,
3,14,38,Purrgil Ultra,,Uncommon,Unit,Command/Cunning,Normal,38,540,302,high,
